127.0.0.1 - - [08/Nov/2014 21:20:28] "POST /weixin?timestamp=1415452828&nonce=qfixovzldsfe832tynyk7xpwp0sokqzv&signature=02b044edc7e8c6f544c7789e3f89c58f18378537 HTTP/1.1" 200 249 0.0288
127.0.0.1 - - [08/Nov/2014 21:21:16] "POST /weixin?timestamp=1415452876&nonce=8o59qrwvfkzg1qymaanepznujsjlfbxh&signature=23d658f298423e340b9d5a4b98bd87c789de6ed0 HTTP/1.1" 200 249 0.0225
127.0.0.1 - - [08/Nov/2014 21:21:46] "GET /favicon.ico HTTP/1.1" 404 4203 0.0316
127.0.0.1 - - [08/Nov/2014 21:22:29] "GET / HTTP/1.1" 200 4184 0.0588
127.0.0.1 - - [08/Nov/2014 21:22:29] "GET /javascripts/js_utils.js HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [08/Nov/2014 21:22:29] "GET /javascripts/jquery-2.1.1.min.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [08/Nov/2014 21:22:29] "GET /javascripts/application.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [08/Nov/2014 21:22:29] "GET /javascripts/bootstrap.320.min.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [08/Nov/2014 21:22:29] "GET /javascripts/jquery_sinatra.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [08/Nov/2014 21:22:29] "GET /javascripts/nprogress.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [08/Nov/2014 21:22:29] "GET /stylesheets/bootstrap.320.min.css HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [08/Nov/2014 21:22:29] "GET /stylesheets/nprogress.css HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [08/Nov/2014 21:22:53] "POST /weixin?timestamp=1415452973&nonce=ng1ofrx467varhjahz0bywqcoczleeqs&signature=229da3573a6389fdfa6ef92ba3e84e8e293ce6ac HTTP/1.1" 200 249 0.0181
127.0.0.1 - - [08/Nov/2014 21:23:06] "GET / HTTP/1.1" 200 4438 0.0139
127.0.0.1 - - [08/Nov/2014 21:23:06] "GET /javascripts/jquery-2.1.1.min.js HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [08/Nov/2014 21:23:06] "GET /javascripts/bootstrap.320.min.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [08/Nov/2014 21:23:06] "GET /javascripts/nprogress.js HTTP/1.1" 304 - 0.0014
127.0.0.1 - - [08/Nov/2014 21:23:06] "GET /javascripts/js_utils.js HTTP/1.1" 304 - 0.0007
127.0.0.1 - - [08/Nov/2014 21:23:06] "GET /javascripts/application.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [08/Nov/2014 21:23:06] "GET /javascripts/jquery_sinatra.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [08/Nov/2014 21:23:06] "GET /stylesheets/bootstrap.320.min.css HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [08/Nov/2014 21:23:06] "GET /stylesheets/nprogress.css HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [08/Nov/2014 22:12:47] "POST /weixin?timestamp=1415455967&nonce=l1pviozotkzbmg56a7lwyjjgmyuuacdx&signature=f805eb3cca27c4575078bc16bb851b607c58d0f1 HTTP/1.1" 200 249 0.0274
127.0.0.1 - - [08/Nov/2014 22:12:56] "GET / HTTP/1.1" 200 3760 0.0383
127.0.0.1 - - [08/Nov/2014 22:12:57] "GET /javascripts/jquery-2.1.1.min.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [08/Nov/2014 22:12:57] "GET /javascripts/bootstrap.320.min.js HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [08/Nov/2014 22:12:57] "GET /javascripts/nprogress.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [08/Nov/2014 22:12:57] "GET /javascripts/js_utils.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [08/Nov/2014 22:12:57] "GET /javascripts/application.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [08/Nov/2014 22:12:57] "GET /javascripts/jquery_sinatra.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [08/Nov/2014 22:12:57] "GET /stylesheets/bootstrap.320.min.css HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [08/Nov/2014 22:12:57] "GET /stylesheets/nprogress.css HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [08/Nov/2014 22:13:30] "POST /weixin?timestamp=1415456010&nonce=tef42jifpcg39o8kdv0bhgpclsarnje6&signature=def30c879f2716551e48ab5ecc7449cce303192b HTTP/1.1" 200 249 0.0187
127.0.0.1 - - [08/Nov/2014 22:13:37] "GET / HTTP/1.1" 200 4014 0.0136
127.0.0.1 - - [08/Nov/2014 22:13:37] "GET /javascripts/jquery-2.1.1.min.js HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [08/Nov/2014 22:13:37] "GET /javascripts/bootstrap.320.min.js HTTP/1.1" 304 - 0.0007
127.0.0.1 - - [08/Nov/2014 22:13:38] "GET /javascripts/nprogress.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [08/Nov/2014 22:13:38] "GET /javascripts/js_utils.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [08/Nov/2014 22:13:38] "GET /javascripts/application.js HTTP/1.1" 304 - 0.0016
127.0.0.1 - - [08/Nov/2014 22:13:38] "GET /javascripts/jquery_sinatra.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [08/Nov/2014 22:13:38] "GET /stylesheets/bootstrap.320.min.css HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [08/Nov/2014 22:13:38] "GET /stylesheets/nprogress.css HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [08/Nov/2014 22:20:58] "GET / HTTP/1.1" 200 4454 0.0591
127.0.0.1 - - [08/Nov/2014 22:20:58] "GET /javascripts/jquery-2.1.1.min.js HTTP/1.1" 304 - 0.0008
127.0.0.1 - - [08/Nov/2014 22:20:59] "GET /javascripts/bootstrap.320.min.js HTTP/1.1" 304 - 0.0007
127.0.0.1 - - [08/Nov/2014 22:20:59] "GET /javascripts/nprogress.js HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [08/Nov/2014 22:20:59] "GET /javascripts/js_utils.js HTTP/1.1" 304 - 0.0010
127.0.0.1 - - [08/Nov/2014 22:20:59] "GET /javascripts/application.js HTTP/1.1" 304 - 0.0005
